CODIGO,NOMBRE,MONEDA
13133,FACTURAS POR COBRAR EN COBRANZA ASOCIADAS RELAC.  ,
13134,FACTURAS POR COBRAR EN COBRANZA SUCURSAL RELAC.   ,
1314,FACTURAS POR COBRAR EN DESCUENTO RELACIONADAS     ,
13141,FACTURAS POR COBRAR EN DESCUENTO MATRIZ RELACIONAD,
13142,FACTURAS POR COBRAR EN DESCUENTO SUBSIDIARIA RELAC,
13143,FACTURAS POR COBRAR EN DESCUENTO ASOCIADAS RELAC. ,
13144,FACTURAS POR COBRAR EN DESCUENTO SUCURSAL RELAC.  ,
132,ANTICIPOS RECIBIDOS RELACIONADAS                  ,
1321,ANTICIPOS RECIBIDOS RELACIONADAS                  ,
132101,ANTICIPOS RECIBIDOS RELACIONADAS M.N.             ,MN
132102,ANTICIPOS RECIBIDOS RELACIONADAS M.E.             ,ME
133,LETRAS POR COBRAR RELACIONADAS                    ,
1331,LETRAS POR COBRAR EN CARTERA RELACIONADAS         ,
13311,LETRAS POR COBRAR EN CARTERA MATRIZ RELACIONADAS  ,
133111,LETRAS POR COBRAR EN CARTERA MATRIZ RELACIONADA MN,MN
133112,LETRAS POR COBRAR EN CARTERA MATRIZ RELACIONADA ME,ME
13312,LETRAS POR COBRAR EN CARTERA SUBSIDIARIA RELACIONA,
13313,LETRAS POR COBRAR EN CARTERA ASOCIADA RELACIONADAS,
13314,LETRAS POR COBRAR EN CARTERA SUCURSAL RELACIONADAS,
1332,LETRAS POR COBRAR EN COBRANZA RELACIONADAS        ,
13321,LETRAS POR COBRAR EN COBRANZA MATRIZ RELACIONADAS ,
13322,LETRAS POR COBRAR EN COBRANZA SUBSIDIARIA RELACION,
13323,LETRAS POR COBRAR EN COBRANZA ASOCIADAS RELACIONAD,
13324,LETRAS POR COBRAR EN COBRANZA SUCURSAL RELACIONADA,
1333,LETRAS POR COBRAR EN DESCUENTO RELACIONADAS       ,
13331,LETRAS POR COBRAR EN DESCUENTO MATRIZ RELACIONADAS,
13332,LETRAS POR COBRAR EN DESCUENTO SUBSIDIARIA RELAC. ,
13333,LETRAS POR COBRAR EN DESCUENTO ASOCIADAS RELAC.   ,
13334,LETRAS POR COBRAR EN DESCUENTO SUCURSAL RELAC.    ,
139,COBRANZA DUDOSA RELACIONADAS                      ,
1391,FACTURAS  BOLETAS Y OTROS COMP. POR COBRAR C.D.REL,
1393,LETRAS POR COBRAR EN COBRANZA DUDOSA RELACIONADA  ,
14,CUENTAS POR COBRAR AL PERSONAL  A LOS ACCIONISTAS ,
141,PERSONAL                                          ,
1411,PRESTAMOS DE PERSONAL                             ,
141101,PRESTAMOS DE PERSONAL EMPLEADOS M.N.              ,MN
141102,PRESTAMOS DE PERSONAL EMPLEADOS M.E.              ,ME
141111,PRESTAMOS DE PERSONAL OBREROS M.N.                ,MN
141112,PRESTAMOS DE PERSONAL OBREROS M.E.                ,ME
1412,ADELANTO DE REMUNERACIONES DE PERSONAL            ,
141201,ADEALNTO SUELDOS - GRATIFICACIONES  OTROS         ,  
1413,ENTREGAS A RENDIR CUENTA DE PERSONAL              ,
141301,ENTREGAS A RENDIR CUENTA DE PERSONAL M.N.         ,MN
141302,ENTREGAS A RENDIR CUENTA DE PERSONAL M.E.         ,ME
142,ACCIONISTAS (O SOCIOS)                            ,
1421,SUSCRIPCIONES POR COBRAR A SOCIOS O ACCIONISTAS   ,
1422,PRESTAMOS ACCIONISTAS (O SOCIOS)                  ,
142201,PRESTAMOS ACCIONISTAS (O SOCIOS) PARTICIPANTES M.N,MN
142202,PRESTAMOS ACCIONISTAS (O SOCIOS) PARTICIPANTES M.E,ME
143,DIRECTORES                                        ,
144,GERENTES                                          ,
148,DIVERSAS                                          ,
149,COBRANZA DUDOSA                                   ,
1491,COBRANZA DUDOSA PERSONAL                          ,
1492,COBRANZA DUDOSA ACCIONISTAS (O SOCIOS)            ,
1493,COBRANZA DUDOSA DIRECTORES                        ,
1494,COBRANZA DUDOSA GERENTES                          ,
1498,COBRANZA DUDOSA DIVERSAS                          ,
16,CUENTAS POR COBRAR DIVERSAS - TERCEROS            ,
161,COBRANZA DIVERSA - PRESTAMOS TERCEROS             ,
1611,COBRANZA DIVERSAS PRESTAMOS CON GARANTIA TERCEROS ,
161101,COBRANZA DIVERSAS PRESTAMOS C/GARANTIA TERCEROS MN,MN
161102,COBRANZA DIVERSAS PRESTAMOS C/GARANTIA TERCEROS ME,ME
161111,COBRANZA DIVERSAS PRESTAMOS S/GARANTIA TERCEROS MN,MN
161112,COBRANZA DIVERSAS PRESTAMOS S/GARANTIA TERCEROS ME,ME
1612,COBRANZA DIVERSAS PRESTAMOS SIN GARANTIA TERCEROS ,
162,RECLAMACIONES A TERCEROS                          ,
1621,RECLAMACIONES A TERCEROS COMPAÑIAS ASEGURADORAS   ,
1622,RECLAMACIONES A TERCEROS TRANSPORTADORAS          ,
1623,RECLAMACIONES A TERCEROS SERVICIOS PUBLICOS       ,
1629,RECUADACION  SUNAT CTA DETRACCIONES               ,
162901,RECUADACION SUNAT BN DETRACCIONES                 ,  
163,INTERESES  REGALIAS Y DIVIDENDOS TERCEROS         ,
1631,INTERESES TERCEROS                                ,
1632,REGALIAS TERCEROS                                 ,
1633,DIVIDENDOS TERCEROS                               ,
164,DEPOSITOS OTORGADOS EN GARANTIA TERCEROS          ,
1641,PRESTAMOS DE INSTITUCIONES NO FINANCIERAS TERCEROS,
1642,PRESTAMOS DE INSTITUCIONES FINANCIERAS TERCEROS   ,
165,VENTA DE ACTIVO INMOVILIZADO TERCEROS             ,
1651,INVERSION MOBILIARIA TERCEROS                     ,
1652,INVERSION INMOBILIARIA TERCEROS                   ,
1653,INMUEBLES  MAQUINARIA Y EQUIPO TERCEROS           ,
1654,INTANGIBLES TERCEROS                              ,
1655,ACTIVOS BIOLOGICOS TERCEROS                       ,
166,ACTIVOS POR INSTRUMENTOS FINANCIEROS DERIVADOS TER,
1661,CARTERA DE NEGOCIACION                            ,
1662,INSTRUMENTOS DE COBERTURA                         ,
168,OTRAS COBRANZAS DIVERSAS TERCEROS                 ,
1681,ENTREGAS A RENDIR CTAS                            ,
168101,ENTREGAS  A RENDIR  CTA                           ,  
169,COBRANZA DIVERSA DUDOSA TERCEROS                  ,
1691,COBRANZA DIVERSA DUDOSA PRESTAMOS TERCEROS        ,
1692,COBRANZA DIVERSA DUDOSA RECLAMACIONES A TERCEROS  ,
1693,COBRANZA DIVERSA DUDOSA INTERESES  REG.Y DIV. TERC,
1694,COBRANZA DIVERSA DUDOSA DEPOSITOS GARANTIA TERCERO,
1695,COBRANZA DIVERSA DUDOSA VENTA ACTIVOS INMOV. TERCE,
1698,OTRAS COBRANZAS DIVERSAS DUDOSA TERCEROS          ,
17,CUENTAS POR COBRAR DIVERSAS - RELACIONADAS        ,
171,COBRANZA DIVERSA PRESTAMOS RELACIONADA            ,
1711,COBRANZA DIVERSA PRESTAMOS CON GARANTIA RELACIONAD,
17111,COBRANZA DIVERSA PRESTAMOS C/GARANTIA MATRIZ RELAC,
171111,COBRANZA DIVERSAS PTMOS.C/GARANTIA MATRIZ RELAC.MN,MN
171112,COBRANZA DIVERSAS PTMOS.C/GARANTIA MATRIZ RELAC.ME,ME
17112,COBRANZA DIVERSA PRESTAMOS C/GARANTIA SUBSIDIARIA ,
17113,COBRANZA DIVERSA PRESTAMOS C/GARANTIA ASOCIADA REL,
17114,COBRANZA DIVERSA PRESTAMOS C/GARANTIA SUCURSAL REL,
1712,COBRANZA DIVERSA PRESTAMOS SIN GARANTIA RELACIONAD,
17121,COBRANZA DIVERSA PRESTAMOS S/GARANTIA MATRIZ RELAC,
171211,COBRANZA DIVERSAS PTMOS.S/GARANTIA MATRIZ RELAC.MN,MN
171212,COBRANZA DIVERSAS PTMOS.S/GARANTIA MATRIZ RELAC.ME,ME
17122,COBRANZA DIVERSA PRESTAMOS S/GARANTIA SUBSIDIARIA ,
17123,COBRANZA DIVERSA PRESTAMOS S/GARANTIA ASOCIADA REL,
17124,COBRANZA DIVERSA PRESTAMOS S/GARANTIA SUCURSAL REL,
172,INTERESES  REGALIAS Y DIVIDENDOS RELACIONADAS     ,
1721,INTERESES RELACIONADAS                            ,
17211,INTERESES MATRIZ RELACIONADAS                     ,
17212,INTERESES SUBSIDIARIAS RELACIONADAS               ,
17213,INTERESES ASOCIADAS RELACIONADAS                  ,
17214,INTERESES SUCURSAL RELACIONADAS                   ,
1722,REGALIAS RELACIONADAS                             ,
17221,REGALIAS MATRIZ RELACIONADAS                      ,
17222,REGALIAS SUBSIDIARIAS RELACIONADAS                ,
17223,REGALIAS ASOCIADAS RELACIONADAS                   ,
17224,REGALIAS SUCURSAL RELACIONADAS                    ,
1723,DIVIDENDOS RELACIONADOS                           ,
17231,DIVIDENDOS MATRIZ RELACIONADOS                    ,
17232,DIVIDENDOS SUBSIDIARIAS RELACIONADAS              ,
17233,DIVIDENDOS ASOCIADAS RELACIONADAS                 ,
173,DEPOSITOS OTORGADOS EN GARANTIA RELACIONADAS      ,
174,VENTA DE ACTIVO INMOVILIZADO RELACIONADAS         ,
1741,INVERSION MOBILIARIA RELACIONADA                  ,
1742,INVERSION INMOBILIARIA RELACIONADA                ,
1743,INMUEBLES  MAQUINARIA Y EQUIPO RELACIONADA        ,
1744,INTANGIBLES RELACIONADA                           ,
1745,ACTIVOS BIOLOGICOS RELACIONADA                    ,
175,ACTIVOS POR INSTRUMENTOS FINANCIEROS DERIVADOS REL,
178,OTRAS CUENTAS POR COBRAR DIVERSAS RELACIONADAS    ,
179,COBRANZA DIVERSA DUDOSA RELACIONADA               ,
1791,COBRANZA DIVERSA DUDOSA PRESTAMOS RELACIONADAS    ,
1792,COBRANZA DIVERSA DUDOSA INTERESES  REG.Y DIVIDEN.R,
1793,COBRANZA DIVERSA DUDOSA DEPOSITOS GARANTIA RELACIO,
1794,COBRANZA DIVERSA DUDOSA VENTA ACTIVOS INMOVIL.RELA,
1798,OTRAS COBRANZAS DIVERSAS DUDOSA TERCEROS RELACIONA,
18,SERVICIOS Y OTROS CONTRATADOS POR ANTICIPADO      ,
181,INTERESES                                         ,
1811,INTERESES                                         ,
181101,INTERESES M.N.                                    ,MN
181102,INTERESES M.E.                                    ,ME
182,SEGUROS                                           ,
1821,SEGUROS PAGADOS  POR  ANTICIPADO                  ,
182101,SEGUROS PAGADOS  POR  ANTICIPADO                  ,  
183,ALQUILERES                                        ,
184,PRIMAS PAGADAS POR OPCIONES                       ,
185,MANTENIMIENTO DE ACTIVOS INMOVILIZADOS            ,
189,OTROS GASTOS CONTRATADOS POR ANTICIPADO           ,
1891,OTRAS GASTOS PAGADOS  POR  ANTICIPADO             ,
189101,OTROS GASTOS PAGADOS  POR  ANTICIPADO             ,  
19,ESTIMACION DE CUENTAS DE COBRANZA DUDOSA          ,
191,ESTIMACION COBRANZA DUDOSA COMERCIALES - TERCEROS ,
1911,ESTIMACION COBRANZA DUDOSA FACTURA COMERCIAL TERCE,
1912,ESTIMACION COBRANZA DUDOSA LETRAS COMERCIAL TERCER,
192,ESTIMACION COBRANZA DUDOSA AL PERSONAL  ACCIONISTA,
1921,ESTIMACION COBRANZA DUDOSA PERSONAL               ,
192101,ESTIMACION COBRANZA DUDOSA EMPLEADOS              ,MN
192102,ESTIMACION COBRANZA DUDOSA OBREROS                ,ME
1922,ESTIMACION COBRANZA DUDOSA ACCIONISTAS            ,
1923,ESTIMACION COBRANZA DUDOSA DIRECTORES             ,
1924,ESTIMACION COBRANZA DUDOSA GERENTES               ,
1929,ESTIMACION COBRANZA DUDOSA DIVERSAS               ,
193,ESTIMACION COBRANZA DUDOSA RELACIONADAS           ,
1931,ESTIMACION COBRANZA DUDOSA COMERCIALES RELACIONADA,
19311,ESTIMACION COBRANZA DUDOSA COMERCIALES FACTURA.REL,
19312,ESTIMACION COBRANZA DUDOSA COMERCIALES LETRAS.RELA,
1932,ESTIMACION COBRANZA DUDOSA DIVERSAS RELACIONADAS  ,
19321,ESTIMACION COBRANZA DUDOSA DIVERSAS PRESTAMOS  REL,
19322,ESTIMACION COBRANZA DUDOSA DIVERSAS INT.REG.Y DVD ,
19323,ESTIMACION COBRANZA DUDOSA DIVERSAS DEPO.GARANTIA ,
19324,ESTIMACION COBRANZA DUDOSA DIVERSAS VTA.ACT.INMOV.,
19328,OTRAS ESTIMACION COBRANZAS DIVERSAS DUDOSA RELAC..,
194,ESTIMACION COBRANZA DUDOSA DIVERSA TERCERO        ,
1941,ESTIMACION COBRANZA DUDOSA DIVERSA PRESTAMO TERCER,
1942,ESTIMACION COBRANZA DUDOSA DIVERSA RECLAMAC.TERCER,
1943,ESTIMACION COBRANZA DUDOSA DIVERSAS INT.REG.Y DVD ,
1944,ESTIMACION COBRANZA DUDOSA DIVERSAS DEPO.GARANTIA ,
1945,ESTIMACION COBRANZA DUDOSA DIVERSAS VTA.ACT.INMOV.,
1949,OTRAS ESTIMACION COBRANZAS DUDOSA DIVERSA TERCERO ,
2,ACTIVO REALIZABLE                                 ,
20,MERCADERIAS                                       ,
201,MERCADERIAS MANUFACTURADAS                        ,
2011,MERCADERIAS MANUFACTURADAS                        ,
20111,MERCADERIAS MANUFACTURADAS COSTO                  ,
201111,MERCADERIAS MANUFACTURADAS COSTO                  ,  
20112,MERCADERIAS MANUFACTURADAS VALOR RAZONABLE        ,
202,MERCADERIAS DE EXTRACCION                         ,
203,MERCADERIAS AGROPECUARIAS Y PISCICOLAS            ,
2031,MERCADERIAS AGROPECUARIAS DE ORIGEN ANIMAL        ,
2032,MERCADERIAS AGROPECUARIAS DE ORIGEN VEGETAL       ,
204,MERCADERIAS INMUEBLES                             ,
208,OTRAS MERCADERIAS                                 ,
209,MERCADERIAS DESVALORIZADAS                        ,
2091,MERCADERIAS DESVALORIZADAS MANUFACTURADAS         ,
2092,MERCADERIAS DESVALORIZADAS RECURSOS EXTRAIDOS     ,
2093,MERCADERIAS DESVALORIZADAS PROD.AGROPECUARIOS Y PI,
2094,MERCADERIAS DESVALORIZADAS INMUEBLES              ,
2098,OTRAS MERCADERIAS DESVALORIZADAS                  ,
21,PRODUCTOS TERMINADOS                              ,
211,PRODUCTOS TERMINADOS MANUFACTURADOS               ,
2111,PRODUCTOS TERMINADOS MANUFACTURADOS               ,
211101,PRODUCTOS TERMINADOS MANUFACTURADOS               ,  
212,PRODUCTOS DE EXTRACCION TERMINADOS                ,
213,PRODUCTOS AGROPECUARIOS Y PISCICOLAS TERMINADOS   ,
2131,PRODUCTOS ORIGEN ANIMAL TERMINADOS                ,
21311,PRODUCTOS ORIGEN ANIMAL COSTO TERMINADOS          ,
21312,PRODUCTOS ORIGEN ANIMAL VALOR RAZONABLE TERMINADOS,
2132,PRODUCTOS ORIGEN VEGETAL TERMINADOS               ,
21321,PRODUCTOS ORIGEN VEGETAL COSTO TERMINADOS         ,
21322,PRODUCTOS ORIGEN VEGETAL VALOR RAZONABLE TERMINADO,
214,PRODUCTOS INMUEBLES                               ,
215,EXISTENCIAS DE SERVICIOS TERMINADOS               ,
217,OTROS PRODUCTOS TERMINADOS                        ,
218,COSTOS DE FINANCIACION PRODUCTOS TERMINADOS       ,
219,PRODUCTOS TERMINADOS DESVALORIZADOS               ,
2191,PRODUCTOS MANUFACTURADOS DESVALORIZADOS           ,
2192,PRODUCTOS DE EXTRACCION DESVALORIZADOS            ,
2193,PRODUCTOS AGROPECUARIOS-PISCICOLAS DESVALORIZADOS ,
2194,PRODUCTOS INMUEBLES DESVALORIZADOS                ,
2195,EXISTENCIAS DE SERVICIOS DESVALORIZADOS           ,
2197,OTROS PRODUCTOS TERMINADOS DESVALORIZADOS         ,
2198,COSTOS DE FINANCIACION PRODUCTOS DESVALORIZADOS   ,
22,SUBPRODUCTOS  DESECHOS Y DESPERDICIOS             ,
221,SUBPRODUCTOS                                      ,
2211,SUBPRODUCTOS                                      ,
221101,SUBPRODUCTOS                                      ,  
222,DESECHOS Y DESPERDICIOS                           ,
229,SUBPRODUCTOS  DESECHOS Y DESPERDICIOS DESVALORIZAD,
2291,SUBPRODUCTOS DESVALORIZADOS                       ,
2292,DESECHOS Y DESPERDICIOS DESVALORIZADOS            ,
23,PRODUCTOS EN PROCESO                              ,
231,PRODUCTOS EN PROCESO DE MANUFACTURA               ,
2311,PRODUCTOS EN PROCESO DE MANUFACTURA               ,
231101,PRODUCTOS EN PROCESO DE MANUFACTURA               ,  
232,PRODUCTOS EXTRAIDOS EN PROCESO DE TRANSFORMACION  ,
233,PRODUCTOS AGROPECUARIOS Y PISCICOLAS EN PROCESO   ,
2331,PRODUCTOS DE ORIGEN ANIMAL EN PROCESO             ,
23311,PRODUCTOS ORIGEN ANIMAL COSTO EN PROCESO          ,
23312,PRODUCTOS ORIGEN ANIMAL VALOR RAZONABLE EN PROCESO,
2332,PRODUCTOS DE ORIGEN VEGETAL EN PROCESO            ,
23321,PRODUCTOS ORIGEN VEGETAL COSTO EN PROCESO         ,
23322,PRODUCTOS ORIGEN VEGETAL VALOR RAZONABLE EN PROCES,
234,PRODUCTOS INMUEBLES EN PROCESO                    ,
235,EXISTENCIAS DE SERVICIOS EN PROCESO               ,
237,OTROS PRODUCTOS EN PROCESO                        ,
238,COSTOS DE FINANCIACION PRODUCTOS EN PROCESO       ,
239,PRODUCTOS EN PROCESO DESVALORIZADOS               ,
2391,PRODUCTOS EN PROCESO DE MANUFACTURA               ,
2392,PRODUCTOS EXTRAIDOS EN PROCESO DE TRANSFORMACION  ,
2393,PRODUCTOS AGROPECUARIOS Y PISCICOLAS EN PROCESO   ,
2394,PRODUCTOS INMUEBLES EN PROCESO                    ,
2395,EXISTENCIAS DE SERVICIOS EN PROCESO               ,
2397,OTROS PRODUCTOS EN PROCESO                        ,
2398,COSTOS DE FINANCIACION PRODUCTOS EN PROCESO       ,
24,MATERIAS PRIMAS                                   ,
241,MATERIAS PRIMAS PARA PRODUCTOS MANUFACTURADOS     ,
2411,MATERIAS PRIMAS PARA PRODUCTOS MANUFACTURADOS     ,  
241101,MATERIAS PRIMAS PARA PRODUCTOS MANUFACTURADOS     ,  
242,MATERIAS PRIMAS PARA PRODUCTOS DE EXTRACCION      ,
243,MATERIAS PRIMAS PARA PRODUCTOS AGROPECUARIOS Y PIS,
244,MATERIAS PRIMAS PARA PRODUCTOS INMUEBLES          ,
249,MATERIAS PRIMAS DESVALORIZADAS                    ,
2491,MATERIAS PRIMAS PARA PRODUCTOS MANUFACTURADOS     ,
2492,MATERIAS PRIMAS PARA PRODUCTOS DE EXTRACCION      ,
2493,MATERIAS PRIMAS PARA PRODUCTOS AGROPECUARIOS Y PIS,
2494,MATERIAS PRIMAS PARA PRODUCTOS INMUEBLES          ,
25,MATERIALES AUXILIARES  SUMINISTROS Y REPUESTOS    ,
251,MATERIALES AUXILIARES                             ,
2511,MATERIALES AUXILIARES                             ,  
251101,MATERIALES AUXILIARES                             ,  
252,SUMINISTROS                                       ,
2521,COMBUSTIBLES                                      ,
2522,LUBRICANTES                                       ,
2523,ENERGIA                                           ,
2524,OTROS SUMINISTROS                                 ,
253,REPUESTOS                                         ,
259,MATERIALES AUXILIARES  SUMINISTROS Y REPTOS DESVAL,
2591,MATERIALES AUXILIARES DESVALORIZADOS              ,
2592,SUMINISTROS DESVALORIZADOS                        ,
2593,REPUESTOS DESVALORIZADOS                          ,
26,ENVASES Y EMBALAJES                               ,
261,ENVASES                                           ,
2611,ENVASES                                           ,
261101,ENVASES                                           ,  
262,EMBALAJES                                         ,
269,ENVASES Y EMBALAJES DESVALORIZADOS                ,
2691,ENVASES DESVALORIZADOS                            ,
2692,EMBALAJES DESVALORIZADOS                          ,
27,ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA    ,
271,INVERSIONES INMOBILIARIAS                         ,
2711,INVERSIONES INMOBILIARIAS TERRENOS                ,
2712,INVERSIONES INMOBILIARIAS EDIFICACIONES           ,
272,INMUEBLES  MAQUINARIA Y EQUIPO                    ,
2721,INMUEBLES TERRENOS                                ,
2722,INMUEBLES EDIFICACIONES                           ,
2723,MAQUINARIAS Y EQUIPOS DE EXPLOTACION              ,
2724,EQUIPO DE TRANSPORTE                              ,
2725,MUEBLES Y ENSERES                                 ,
2726,EQUIPOS DIVERSOS                                  ,
2727,HERRAMIENTAS Y UNIDADES DE REEMPLAZO              ,
273,INTANGIBLES                                       ,
2731,CONCESIONES  LICENCIAS Y DERECHOS                 ,
2732,PATENTES Y PROPIEDAD INDUSTRIAL                   ,
2733,PROGRAMAS DE COMPUTADORA (SOFTWARE)               ,
2735,FORMULAS  DISEÑOS Y PROTOTIPOS                    ,
274,ACTIVOS BIOLOGICOS                                ,
2741,ACTIVOS BIOLOGICOS EN PRODUCCION                  ,
2742,ACTIVOS BIOLOGICOS EN DESARROLLO                  ,
28,EXISTENCIAS POR RECIBIR                           ,
281,MERCADERIAS POR RECIBIR                           ,
284,MATERIAS PRIMAS POR RECIBIR                       ,
2841,MATERIAS PRIMAS POR RECIBIR                       ,
284101,MATERIAS PRIMAS POR RECIBIR                       ,  
285,MATERIALES AUXILIARES  SUMINISTROS Y RPTOS. POR RE,
286,ENVASES Y EMBALAJES POR RECIBIR                   ,
289,EXISTENCIAS POR RECIBIR DESVALORIZADAS            ,
2891,MERCADERIAS POR RECIBIR DESVALORIZADAS            ,
2892,MATERIAS PRIMAS POR RECIBIR DESVALORIZADAS        ,
2893,MATERIALES AUXILIARES  SUM.Y RPTOS POR RECIBIR DES,
2894,ENVASES Y EMBALAJES POR RECIBIR DESVALORIZADO     ,
29,DESVALORIZACION DE EXISTENCIAS                    ,
291,DESVALORIZACION MERCADERIAS                       ,
2911,DESVALORIZACION MERCADERIAS MANUFACTURADAS        ,
291101,DESVALORIZACION MERCADERIAS MANUFACTURADAS        ,  
