code,name,nombre_elemento,elemento,debe,haber
73,DESCUENTOS  REBAJAS Y BONIFICACIONES OBTENIDOS,Ingresos,7,0.0,0.0
74,DESCUENTOS  REBAJAS Y BONIFICACIONES CONCEDIDOS,Ingresos,7,0.0,0.0
75,OTROS INGRESOS DE GESTION,Ingresos,7,0.0,0.0
77,INGRESOS FINANCIEROS,Ingresos,7,0.0,0.0
79,CARGAS IMPUTABLES A CUENTAS DE COSTOS Y GASTOS,Ingresos,7,0.0,0.0
80,MARGEN COMERCIAL,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
81,PRODUCCION DEL EJERCICIO,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
82,VALOR AGREGADO,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
83,EXCEDENTE BRUTO (INSUFICIENCIA BRUTA) DE EXPLOTACI,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
84,RESULTADO DE EXPLOTACION,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
85,RESULTADO ANTES DE PARTICIPACIONES E IMPUESTOS,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
87,PARTICIPACIONES DE LOS TRABAJADORES,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
88,IMPUESTO A LA RENTA,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
89,DETERMINACION DEL RESULTADO DEL EJERCICIO,Saldos intermediarios de gestión y determinación del resultado del ejercicio,8,0.0,0.0
91,COSTO DE PRODUCCION,Costos de producción y gastos por función,9,0.0,0.0
94,GASTOS DE ADMINISTRACION,Costos de producción y gastos por función,9,0.0,0.0
95,GASTOS DE VENTAS,Costos de producción y gastos por función,9,0.0,0.0
97,GASTOS FINANCIEROS,Costos de producción y gastos por función,9,0.0,0.0
